condition per_probe_kl
alg 6.890443
alg 6.910850
alg 6.853820
alg 1.896652
alg 3.549875
alg 0.679374
alg 6.618768
alg 3.688779
alg 7.021702
alg 6.776924
alg 6.927019
alg 7.096059
alg 7.011049
alg 1.304783
alg 0.269967
alg 7.830635
alg 7.425911
alg 7.125767
alg 7.551069
alg 7.284571
alg 7.367351
alg 5.589863
alg 0.508041
alg 3.718493
alg 5.824587
alg 6.502879
alg 1.226078
alg 6.941001
alg 5.291179
alg 4.190746
alg 5.938933
alg 1.439432
alg 0.540031
alg 6.103806
alg 0.334804
alg 5.658391
alg 0.910042
alg 0.880570
alg 5.438673
alg 6.229462
alg 1.098885
alg 7.008584
alg 5.237708
alg 0.480773
alg 0.993659
alg 6.694403
alg 0.411489
alg 0.487906
alg 0.793456
alg 7.536201
alg 5.708867
alg 5.521296
alg 3.569845
alg 0.569386
alg 5.105614
alg 6.019771
alg 0.231019
alg 0.763568
alg 5.562390
alg 0.429848
alg 0.767897
alg 0.300855
alg 0.732643
rnd 1.017004
rnd 1.065186
rnd 0.547505
rnd 0.390150
rnd 0.602437
rnd 0.730352
rnd 1.211954
rnd 1.467034
rnd 0.458332
rnd 0.874596
rnd 0.500314
rnd 0.422390
rnd 0.721724
rnd 0.575973
rnd 0.383249
rnd 0.227072
rnd 0.237642
rnd 0.563575
rnd 0.182572
rnd 0.600811
rnd 0.413472
rnd 0.191752
rnd 0.685879
rnd 0.766594
rnd 1.610449
rnd 0.285439
rnd 0.314725
rnd 2.298102
rnd 1.050022
rnd 0.382007
rnd 0.312445
rnd 0.577594
rnd 0.281662
rnd 0.199785
rnd 0.624932
rnd 0.316155
rnd 0.601050
rnd 0.521999
rnd 0.469164
rnd 0.467198
rnd 1.448375
rnd 0.345875
rnd 0.536465
rnd 1.104507
rnd 1.576692
rnd 0.226458
rnd 0.531568
rnd 0.837709
rnd 0.485183
rnd 0.719043
rnd 0.310313
rnd 0.774243
rnd 0.614750
rnd 0.359914
rnd 1.034337
rnd 1.850086
rnd 0.693828
rnd 0.392115
rnd 0.991058
rnd 0.500084
